Shape;Carat;Color;Clarity;Cut;Price
Emerald;0.32;K;SI2;Ideal;215
Oval;0.31;K;SI2;Ideal;239
Emerald;0.30;K;SI1;Ideal;251
Marquise;0.30;J;SI1;Ideal;256
Pear;0.30;K;SI1;Ideal;256
Oval;0.30;K;SI1;Ideal;262
Pear;0.35;K;SI1;Good;274
Pear;0.31;K;SI1;Excellent;275
Pear;0.31;K;VVS1;Excellent;277
Pear;0.33;K;VS2;Excellent;277
Emerald;0.30;J;SI2;Ideal;280
Pear;0.31;J;SI2;Ideal;283
Marquise;0.30;K;VS2;Ideal;286
Emerald;0.30;K;SI1;Excellent;286
Pear;0.30;J;SI2;Excellent;289
Marquise;0.30;K;VS2;Very Good;290
Oval;0.31;K;SI1;Ideal;292
Emerald;0.30;J;SI1;Good;292
Emerald;0.30;J;SI2;Excellent;295
Pear;0.30;J;VS2;Excellent;295
Marquise;0.30;K;SI1;Ideal;296
Oval;0.30;J;SI2;Ideal;307
Pear;0.30;J;SI2;Excellent;308
Oval;0.30;J;SI1;Ideal;308
Emerald;0.36;K;SI1;Ideal;310
Marquise;0.31;J;SI2;Very Good;313
Princess;0.32;K;SI1;Ideal;313
Heart;0.30;J;VS2;Ideal;313
Emerald;0.31;K;VS2;Excellent;313
Oval;0.31;K;VS2;Ideal;316
Marquise;0.30;I;SI1;Very Good;316
Marquise;0.38;K;SI2;Ideal;320
Emerald;0.31;K;VVS2;Excellent;320
Emerald;0.31;K;SI1;Ideal;323
Heart;0.30;K;VS2;Ideal;323
Oval;0.32;K;SI1;Excellent;325
Heart;0.30;J;SI2;Ideal;326
Pear;0.30;J;SI2;Ideal;326
Heart;0.30;K;VVS2;Ideal;326
Pear;0.30;J;SI1;Ideal;328
Oval;0.30;K;VS1;Ideal;329
Emerald;0.30;I;SI1;Ideal;331
Emerald;0.29;H;SI1;Excellent;332
Emerald;0.30;J;VS2;Excellent;334
Marquise;0.30;I;SI1;Excellent;334
Pear;0.30;J;SI2;Ideal;334
Marquise;0.32;K;VVS1;Ideal;335
Emerald;0.30;K;VS2;Excellent;335
Heart;0.30;K;VS1;Ideal;337
Heart;0.33;K;VS1;Ideal;337
Emerald;0.30;J;SI1;Ideal;338
Heart;0.35;J;SI2;Excellent;338
Heart;0.30;K;SI1;Very Good;338
Emerald;0.32;K;VVS1;Very Good;340
Pear;0.30;J;SI1;Ideal;340
Emerald;0.31;J;SI1;Ideal;340
Radiant;0.30;J;SI2;Excellent;340
Heart;0.30;K;VS1;Ideal;340
Pear;0.27;I;SI1;Ideal;341
Heart;0.30;I;SI1;Excellent;343
Emerald;0.31;J;VS2;Excellent;343
Emerald;0.30;I;SI1;Excellent;343
Marquise;0.33;K;VS2;Excellent;343
Emerald;0.34;J;SI1;Ideal;343
Emerald;0.30;J;VVS2;Excellent;344
Pear;0.30;H;SI2;Ideal;344
Princess;0.30;K;VS1;Very Good;344
Heart;0.34;K;VS2;Ideal;344
Pear;0.35;K;SI1;Ideal;346
Marquise;0.30;I;SI1;Excellent;347
Emerald;0.30;I;SI2;Ideal;347
Emerald;0.31;J;SI1;Excellent;349
Radiant;0.31;J;SI2;Ideal;349
Emerald;0.35;J;SI1;Excellent;349
Emerald;0.32;K;VS1;Excellent;349
Emerald;0.30;J;VS1;Very Good;350
Emerald;0.30;J;VS2;Excellent;352
Emerald;0.29;K;VVS1;Ideal;352
Emerald;0.30;K;VVS1;Excellent;352
Princess;0.30;I;VS2;Excellent;353
Heart;0.30;K;SI1;Ideal;355
Pear;0.33;J;VS2;Excellent;356
Emerald;0.30;K;VVS1;Excellent;356
Emerald;0.31;J;VS1;Very Good;358
Emerald;0.32;I;SI1;Excellent;358
Marquise;0.30;G;SI2;Excellent;358
Heart;0.33;J;VS1;Excellent;359
Pear;0.30;I;SI1;Very Good;359
Emerald;0.33;H;SI2;Excellent;359
Emerald;0.31;I;SI1;Good;359
Emerald;0.30;F;SI1;Very Good;361
Emerald;0.29;G;SI1;Excellent;361
Emerald;0.30;I;SI1;Excellent;362
Emerald;0.32;G;SI2;Ideal;362
Princess;0.30;J;SI2;Very Good;362
Emerald;0.29;F;SI2;Very Good;362
Emerald;0.29;F;SI2;Excellent;362
Emerald;0.30;J;VS2;Ideal;364
Heart;0.31;J;SI1;Excellent;364
Marquise;0.30;I;SI2;Very Good;364
Emerald;0.30;I;SI1;Ideal;367
Emerald;0.30;I;SI1;Very Good;367
Emerald;0.30;H;SI2;Excellent;367
Emerald;0.31;J;VS2;Ideal;367
Marquise;0.31;I;VS2;Ideal;367
Princess;0.30;I;SI1;Excellent;367
Heart;0.31;J;SI1;Excellent;367
Emerald;0.31;I;SI2;Very Good;367
Emerald;0.30;H;SI2;Very Good;367
Emerald;0.32;J;VS2;Ideal;368
Emerald;0.30;H;SI1;Excellent;368
Marquise;0.30;K;VVS2;Very Good;368
Emerald;0.30;I;SI2;Very Good;371
Emerald;0.30;J;VS1;Very Good;373
Emerald;0.32;I;SI2;Ideal;373
Emerald;0.30;H;SI1;Excellent;373
Heart;0.30;I;VS2;Ideal;374
Marquise;0.30;H;SI1;Ideal;374
Heart;0.29;J;VVS1;Ideal;374
Emerald;0.32;I;SI2;Ideal;374
Emerald;0.30;I;SI1;Ideal;376
Heart;0.30;J;VS1;Ideal;376
Heart;0.30;I;SI2;Ideal;376
Emerald;0.31;K;VVS2;Very Good;376
Emerald;0.28;H;SI1;Ideal;377
Pear;0.25;E;SI2;Excellent;377
Heart;0.30;E;SI2;Excellent;377
Emerald;0.31;H;SI1;Very Good;377
Emerald;0.30;E;SI1;Excellent;377
Heart;0.30;J;SI1;Ideal;377
Emerald;0.30;J;VS2;Ideal;377
Marquise;0.30;I;SI1;Ideal;379
Emerald;0.31;I;SI1;Excellent;379
Emerald;0.30;H;SI1;Ideal;379
Pear;0.30;I;SI2;Ideal;379
Oval;0.30;J;VS2;Ideal;380
Oval;0.40;K;SI2;Excellent;380
Oval;0.40;K;SI1;Ideal;380
Emerald;0.30;H;SI2;Ideal;382
Princess;0.30;G;SI2;Ideal;382
Emerald;0.30;E;SI1;Excellent;382
Pear;0.30;I;VS1;Excellent;382
Emerald;0.30;G;SI1;Very Good;382
Pear;0.32;I;SI2;Ideal;382
Emerald;0.31;F;SI2;Excellent;382
Oval;0.32;K;VS2;Excellent;383
Princess;0.30;I;SI1;Ideal;383
Emerald;0.31;F;SI2;Excellent;383
Emerald;0.32;I;SI1;Ideal;385
Emerald;0.30;G;SI1;Very Good;385
Emerald;0.31;G;SI2;Ideal;385
Heart;0.30;I;SI2;Ideal;385
Emerald;0.31;J;VS2;Excellent;385
Emerald;0.30;J;VS2;Very Good;385
Emerald;0.30;H;SI1;Ideal;385
Pear;0.34;I;VS2;Excellent;386
Emerald;0.32;J;VVS2;Very Good;386
Emerald;0.30;G;SI1;Excellent;386
Emerald;0.30;I;SI1;Excellent;386
Marquise;0.30;I;SI1;Ideal;388
Marquise;0.30;I;SI1;Ideal;388
Emerald;0.31;I;VS1;Excellent;388
Pear;0.25;I;SI1;Ideal;388
Emerald;0.30;E;SI1;Excellent;388
